trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
10411858,6/30/2016 10:49,6/30/2016 11:07,5799,1096,192,Canal St & Adams St,173,Mies van der Rohe Way & Chicago Ave,Subscriber,Male,1983
10411727,6/30/2016 10:39,6/30/2016 10:47,5540,482,48,Larrabee St & Kingsbury St,331,Halsted St & Blackhawk St (*),Subscriber,Male,1990
10411603,6/30/2016 10:27,6/30/2016 10:38,1999,612,81,Daley Center Plaza,176,Clark St & Elm St,Subscriber,Male,1990
10411451,6/30/2016 10:17,6/30/2016 10:29,5686,715,24,Fairbanks Ct & Grand Ave,91,Clinton St & Washington Blvd,Customer,,
10411303,6/30/2016 10:07,6/30/2016 10:16,1831,533,50,Clark St & Congress Pkwy,110,Dearborn St & Erie St,Subscriber,Male,1981
10411148,6/30/2016 9:54,6/30/2016 10:01,1333,430,394,Clark St & 9th St (AMLI),33,State St & Van Buren St,Subscriber,Male,1971
10411026,6/30/2016 9:44,6/30/2016 10:32,4264,2908,35,Streeter Dr & Grand Ave,35,Streeter Dr & Grand Ave,Customer,,
10410906,6/30/2016 9:34,6/30/2016 9:37,3925,152,164,Franklin St & Lake St,51,Clark St & Randolph St,Subscriber,Female,1970
10410785,6/30/2016 9:25,6/30/2016 9:33,466,508,84,Union Ave & Grand Ave,98,LaSalle St & Washington St,Subscriber,Male,1985
10410662,6/30/2016 9:16,6/30/2016 9:40,5287,1410,300,Broadway & Barry Ave,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1955
10410543,6/30/2016 9:10,6/30/2016 9:17,1717,396,247,Shore Dr & 55th St,423,University Ave & 57th St,Subscriber,Male,1986
10410399,6/30/2016 9:05,6/30/2016 9:14,3831,574,6,Dusable Harbor,284,Michigan Ave & Jackson Blvd,Customer,,
10410240,6/30/2016 8:59,6/30/2016 9:08,1349,519,71,Morgan St & Lake St,287,Franklin St & Monroe St,Subscriber,Male,1984
10410099,6/30/2016 8:53,6/30/2016 8:58,1867,308,374,Western Ave & Walton St,128,Damen Ave & Chicago Ave,Subscriber,Female,1994
10409980,6/30/2016 8:49,6/30/2016 8:54,1094,304,198,Green St & Madison St,109,900 W Harrison St,Subscriber,Male,1963
10409854,6/30/2016 8:45,6/30/2016 8:53,1084,494,298,Lincoln Ave & Belle Plaine Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1967
10409724,6/30/2016 8:41,6/30/2016 8:46,1234,304,125,Rush St & Hubbard St,212,Orleans St & Ohio St,Subscriber,Male,1990
10409597,6/30/2016 8:36,6/30/2016 8:47,5383,662,597,Chicago Ave & Washington St,596,Benson Ave & Church St,Subscriber,Female,1990
10409481,6/30/2016 8:32,6/30/2016 8:48,2754,941,17,Wood St & Division St,191,Canal St & Monroe St (*),Subscriber,Male,1982
10409373,6/30/2016 8:29,6/30/2016 8:36,4582,461,85,Michigan Ave & Oak St,142,McClurg Ct & Erie St,Subscriber,Male,1967
10409257,6/30/2016 8:24,6/30/2016 8:34,5885,569,66,Clinton St & Lake St,74,Kingsbury St & Erie St,Subscriber,Male,1976
10409128,6/30/2016 8:20,6/30/2016 8:42,4003,1359,116,Western Ave & Winnebago Ave,289,Wells St & Concord Ln,Subscriber,Male,1962
10409010,6/30/2016 8:16,6/30/2016 8:32,5330,964,77,Clinton St & Madison St,24,Fairbanks Ct & Grand Ave,Subscriber,Male,1972
10408880,6/30/2016 8:11,6/30/2016 8:29,260,1087,191,Canal St & Monroe St (*),85,Michigan Ave & Oak St,Customer,,
10408765,6/30/2016 8:08,6/30/2016 8:12,5576,269,354,Sheridan Rd & Greenleaf Ave,432,Clark St & Lunt Ave,Subscriber,Male,1986
10408657,6/30/2016 8:03,6/30/2016 8:15,3931,692,138,Clybourn Ave & Division St,18,Wacker Dr & Washington St,Subscriber,Male,1992
10408541,6/30/2016 7:59,6/30/2016 8:04,2334,260,295,Broadway & Argyle St,325,Clark St & Winnemac Ave,Subscriber,Male,1979
10408407,6/30/2016 7:55,6/30/2016 8:02,4641,385,77,Clinton St & Madison St,80,Aberdeen St & Monroe St,Subscriber,Female,1986
10408270,6/30/2016 7:51,6/30/2016 7:54,5570,172,359,Larrabee St & Division St,48,Larrabee St & Kingsbury St,Subscriber,Male,1985
10408152,6/30/2016 7:47,6/30/2016 7:54,5280,432,75,Canal St & Jackson Blvd,71,Morgan St & Lake St,Subscriber,Male,1978
10408040,6/30/2016 7:42,6/30/2016 7:51,3522,543,321,Wabash Ave & 8th St,191,Canal St & Monroe St (*),Subscriber,Male,1989
10407931,6/30/2016 7:37,6/30/2016 7:53,5864,955,220,Hampden Ct & Diversey Pkwy,364,Larrabee St & Oak St,Subscriber,Male,1990
10407644,6/30/2016 7:32,6/30/2016 7:39,4445,414,255,Indiana Ave & Roosevelt Rd,338,Calumet Ave & 18th St,Subscriber,Female,1984
10407529,6/30/2016 7:27,6/30/2016 7:48,1922,1269,289,Wells St & Concord Ln,217,May St & Fulton St,Subscriber,Female,1984
10407413,6/30/2016 7:22,6/30/2016 7:33,1185,654,91,Clinton St & Washington Blvd,119,Ashland Ave & Lake St,Subscriber,Male,1979
10407298,6/30/2016 7:16,6/30/2016 7:21,48,274,464,Damen Ave & Foster Ave,242,Damen Ave & Leland Ave,Subscriber,Female,1959
10407182,6/30/2016 7:10,6/30/2016 7:16,1877,374,212,Orleans St & Ohio St,77,Clinton St & Madison St,Subscriber,Male,1969
10407070,6/30/2016 7:01,6/30/2016 7:05,5445,235,80,Aberdeen St & Monroe St,346,Ada St & Washington Blvd,Subscriber,Male,1992
10406935,6/30/2016 6:53,6/30/2016 7:01,260,448,77,Clinton St & Madison St,80,Aberdeen St & Monroe St,Subscriber,Male,1968
10406820,6/30/2016 6:44,6/30/2016 6:47,1587,213,347,Ashland Ave & Grace St,257,Lincoln Ave & Waveland Ave,Subscriber,Female,1992
10406716,6/30/2016 6:33,6/30/2016 6:46,5338,762,268,Lake Shore Dr & North Blvd,87,Racine Ave & Fullerton Ave,Subscriber,Male,1985
10406605,6/30/2016 6:20,6/30/2016 6:26,2336,383,43,Michigan Ave & Washington St,191,Canal St & Monroe St (*),Subscriber,Male,1986
10406486,6/30/2016 6:06,6/30/2016 6:23,1790,983,177,Theater on the Lake,177,Theater on the Lake,Customer,,
10406380,6/30/2016 5:43,6/30/2016 7:42,5572,7134,107,Desplaines St & Jackson Blvd,147,Indiana Ave & 26th St,Subscriber,Male,1991
10406270,6/30/2016 3:14,6/30/2016 3:19,3650,300,84,Union Ave & Grand Ave,77,Clinton St & Madison St,Subscriber,Male,1985
10406165,6/30/2016 0:24,6/30/2016 0:41,2806,1003,88,May St & Randolph St,116,Western Ave & Winnebago Ave,Subscriber,Male,1975
10426596,6/30/2016 23:42,6/30/2016 23:52,5809,609,460,Clark St & Bryn Mawr Ave,459,Lakefront Trail & Bryn Mawr Ave,Customer,,
10426478,6/30/2016 23:14,6/30/2016 23:42,1858,1717,35,Streeter Dr & Grand Ave,90,Millennium Park,Customer,,
10426352,6/30/2016 22:55,6/30/2016 23:35,5110,2410,268,Lake Shore Dr & North Blvd,478,Rockwell St & Eastwood Ave,Customer,,
10426209,6/30/2016 22:35,6/30/2016 23:03,1151,1719,268,Lake Shore Dr & North Blvd,340,Clark St & Wrightwood Ave,Customer,,
10426074,6/30/2016 22:21,6/30/2016 22:36,2797,904,188,Greenview Ave & Fullerton Ave,332,Halsted St & Diversey Pkwy,Subscriber,Female,1968
10425928,6/30/2016 22:08,6/30/2016 22:13,1761,263,264,Stetson Ave & South Water St,39,Wabash Ave & Adams St,Subscriber,Male,1985
10425792,6/30/2016 21:55,6/30/2016 22:15,4626,1200,226,Racine Ave & Belmont Ave,497,Kimball Ave & Belmont Ave,Subscriber,Male,1988
10425680,6/30/2016 21:44,6/30/2016 21:50,4621,387,46,Wells St & Walton St,118,Sedgwick St & North Ave,Subscriber,Male,1987
10425569,6/30/2016 21:33,6/30/2016 21:37,5766,247,240,Sheridan Rd & Irving Park Rd,231,Sheridan Rd & Montrose Ave,Subscriber,Male,1982
10425434,6/30/2016 21:21,6/30/2016 21:47,533,1570,35,Streeter Dr & Grand Ave,329,Lake Shore Dr & Diversey Pkwy,Subscriber,Female,1989
10425315,6/30/2016 21:12,6/30/2016 21:39,1457,1604,509,Troy St & North Ave,125,Rush St & Hubbard St,Subscriber,Male,1982
10425172,6/30/2016 21:02,6/30/2016 21:16,3845,807,195,Columbus Dr & Randolph St,56,Desplaines St & Kinzie St,Subscriber,Male,1989
10425041,6/30/2016 20:53,6/30/2016 20:59,3384,361,453,Clark St & Schreiber Ave,447,Glenwood Ave & Morse Ave,Subscriber,Female,1973
10424918,6/30/2016 20:45,6/30/2016 20:46,5340,111,211,St. Clair St & Erie St,142,McClurg Ct & Erie St,Subscriber,Male,1965
10424807,6/30/2016 20:36,6/30/2016 20:41,5560,279,38,Clark St & Lake St,43,Michigan Ave & Washington St,Subscriber,Male,1991
