trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
9072980,3/31/2016 9:00,3/31/2016 9:07,1115,409,9202,Halsted St & 18th St,9129,Blue Island Ave & 18th St,Subscriber,Female,1979
9072967,3/31/2016 8:59,3/31/2016 9:07,1708,486,9059,Wabash Ave & Roosevelt Rd,9089,Financial Pl & Congress Pkwy,Subscriber,Male,1991
9072953,3/31/2016 8:57,3/31/2016 9:05,2436,514,9344,Ravenswood Ave & Lawrence Ave,9244,Ravenswood Ave & Irving Park Rd,Subscriber,Male,1971
9072935,3/31/2016 8:55,3/31/2016 9:13,670,1072,9289,Wells St & Concord Ln,9283,LaSalle St & Jackson Blvd,Subscriber,Male,1969
9072922,3/31/2016 8:54,3/31/2016 8:56,3882,167,9038,Clark St & Lake St,9164,Franklin St & Lake St,Subscriber,Male,1990
9072902,3/31/2016 8:52,3/31/2016 8:58,4010,348,9089,Financial Pl & Congress Pkwy,9075,Canal St & Jackson Blvd,Subscriber,Male,1981
9072887,3/31/2016 8:50,3/31/2016 8:58,145,431,9091,Clinton St & Washington Blvd,9051,Clark St & Randolph St,Subscriber,Male,1954
9072871,3/31/2016 8:49,3/31/2016 8:58,3782,525,9346,Ada St & Washington Blvd,9287,Franklin St & Monroe St,Subscriber,Male,1974
9072851,3/31/2016 8:47,3/31/2016 8:52,763,296,9020,Sheffield Ave & Kingsbury St,9138,Clybourn Ave & Division St,Subscriber,Male,1989
9072841,3/31/2016 8:46,3/31/2016 9:06,978,1150,9128,Damen Ave & Chicago Ave,9161,Rush St & Superior St,Subscriber,Female,1977
9072826,3/31/2016 8:45,3/31/2016 8:51,1812,363,9175,Wells St & Polk St,9287,Franklin St & Monroe St,Subscriber,Male,1976
9072815,3/31/2016 8:44,3/31/2016 8:57,3760,770,9119,Ashland Ave & Lake St,9040,LaSalle St & Adams St,Subscriber,Male,1970
9072802,3/31/2016 8:43,3/31/2016 8:51,2603,515,9174,Canal St & Madison St,9283,LaSalle St & Jackson Blvd,Subscriber,Male,1963
9072791,3/31/2016 8:41,3/31/2016 9:01,1895,1172,9097,Museum Campus,9003,Shedd Aquarium,Customer,,
9072776,3/31/2016 8:40,3/31/2016 8:46,2072,385,9091,Clinton St & Washington Blvd,9081,Daley Center Plaza,Subscriber,Male,1988
9072759,3/31/2016 8:39,3/31/2016 8:40,2461,112,9091,Clinton St & Washington Blvd,9066,Clinton St & Lake St,Subscriber,Male,1983
9072741,3/31/2016 8:37,3/31/2016 8:42,197,274,9007,Field Blvd & South Water St,9194,Wabash Ave & Wacker Pl,Subscriber,Male,1951
9072728,3/31/2016 8:36,3/31/2016 8:44,4669,476,9174,Canal St & Madison St,9033,State St & Van Buren St,Subscriber,Male,1957
9072718,3/31/2016 8:36,3/31/2016 8:51,4751,928,9085,Michigan Ave & Oak St,9049,Dearborn St & Monroe St,Subscriber,Male,1977
9072700,3/31/2016 8:34,3/31/2016 8:37,603,190,9029,Noble St & Milwaukee Ave,9054,Ogden Ave & Chicago Ave,Subscriber,Male,1989
9072688,3/31/2016 8:32,3/31/2016 8:38,3181,349,9192,Canal St & Adams St,9100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1961
9072674,3/31/2016 8:31,3/31/2016 8:42,2159,636,9075,Canal St & Jackson Blvd,9125,Rush St & Hubbard St,Subscriber,Male,1960
9072659,3/31/2016 8:30,3/31/2016 8:34,240,262,9303,Broadway & Cornelia Ave,9334,Lake Shore Dr & Belmont Ave,Subscriber,Male,1985
9072646,3/31/2016 8:29,3/31/2016 8:35,774,316,9503,Drake Ave & Fullerton Ave,9260,Kedzie Ave & Milwaukee Ave,Subscriber,Female,1968
9072635,3/31/2016 8:28,3/31/2016 8:33,2106,273,9146,Loomis St & Jackson Blvd,9134,Peoria St & Jackson Blvd,Subscriber,Male,1986
9072625,3/31/2016 8:28,3/31/2016 8:33,2889,313,9195,Columbus Dr & Randolph St,9197,Michigan Ave & Madison St,Subscriber,Female,1981
9072613,3/31/2016 8:27,3/31/2016 8:40,1053,762,9014,Morgan St & 18th St,9261,Hermitage Ave & Polk St,Subscriber,Female,1980
9072602,3/31/2016 8:27,3/31/2016 8:31,1085,255,9080,Aberdeen St & Monroe St,9107,Desplaines St & Jackson Blvd,Subscriber,Male,1986
9072587,3/31/2016 8:26,3/31/2016 8:34,785,478,9122,Ogden Ave & Congress Pkwy,9186,Ogden Ave & Race Ave,Subscriber,Male,1973
9072577,3/31/2016 8:25,3/31/2016 8:31,2717,323,9027,Larrabee St & North Ave,9048,Larrabee St & Kingsbury St,Subscriber,Male,1983
9072562,3/31/2016 8:24,3/31/2016 8:34,279,610,9227,Southport Ave & Waveland Ave,9344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1989
9072549,3/31/2016 8:23,3/31/2016 8:32,3854,563,9048,Larrabee St & Kingsbury St,9181,LaSalle St & Illinois St,Subscriber,Male,1980
9072537,3/31/2016 8:22,3/31/2016 8:29,411,424,9089,Financial Pl & Congress Pkwy,9077,Clinton St & Madison St,Subscriber,Male,1975
9072524,3/31/2016 8:21,3/31/2016 8:34,267,749,9255,Indiana Ave & Roosevelt Rd,9287,Franklin St & Monroe St,Subscriber,Female,1990
9072514,3/31/2016 8:20,3/31/2016 8:30,1341,565,9195,Columbus Dr & Randolph St,9049,Dearborn St & Monroe St,Subscriber,Male,1959
9072502,3/31/2016 8:19,3/31/2016 8:29,1525,563,9007,Field Blvd & South Water St,9049,Dearborn St & Monroe St,Subscriber,Male,1987
9072491,3/31/2016 8:19,3/31/2016 8:35,3537,985,9340,Clark St & Wrightwood Ave,9048,Larrabee St & Kingsbury St,Subscriber,Male,1980
9072480,3/31/2016 8:18,3/31/2016 8:23,2514,249,9026,McClurg Ct & Illinois St,9047,State St & Kinzie St,Subscriber,Male,1986
9072468,3/31/2016 8:18,3/31/2016 8:30,1260,754,9186,Ogden Ave & Race Ave,9191,Canal St & Monroe St (*),Subscriber,Male,1982
9072457,3/31/2016 8:18,3/31/2016 8:24,285,377,9346,Ada St & Washington Blvd,9018,Wacker Dr & Washington St,Subscriber,Male,1977
9072444,3/31/2016 8:16,3/31/2016 8:23,2492,386,9471,Francisco Ave & Foster Ave,9477,Manor Ave & Leland Ave,Subscriber,Male,1964
9072431,3/31/2016 8:15,3/31/2016 8:19,3551,207,9277,Ashland Ave & Grand Ave,9119,Ashland Ave & Lake St,Subscriber,Female,1987
9072420,3/31/2016 8:15,3/31/2016 8:25,2100,632,9111,Sedgwick St & Huron St,9040,LaSalle St & Adams St,Subscriber,Female,1964
9072409,3/31/2016 8:14,3/31/2016 8:17,399,142,9056,Desplaines St & Kinzie St,9066,Clinton St & Lake St,Subscriber,Male,1963
9072395,3/31/2016 8:14,3/31/2016 8:21,2477,447,9264,Stetson Ave & South Water St,9142,McClurg Ct & Erie St,Subscriber,Male,1985
9072383,3/31/2016 8:13,3/31/2016 8:27,3521,856,9077,Clinton St & Madison St,9106,State St & Pearson St,Subscriber,Male,1972
9072371,3/31/2016 8:12,3/31/2016 8:23,3569,642,9192,Canal St & Adams St,9043,Michigan Ave & Washington St,Subscriber,Male,1977
9072358,3/31/2016 8:10,3/31/2016 8:17,2016,428,9036,Franklin St & Jackson Blvd,9096,Desplaines St & Randolph St,Subscriber,Male,1980
9072344,3/31/2016 8:09,3/31/2016 8:17,4066,449,9183,Damen Ave & Augusta Blvd,9219,Damen Ave & Cortland St,Subscriber,Female,1984
9072331,3/31/2016 8:08,3/31/2016 8:34,194,1571,9276,California Ave & North Ave,9107,Desplaines St & Jackson Blvd,Subscriber,Female,1989
9072318,3/31/2016 8:07,3/31/2016 8:14,649,386,9091,Clinton St & Washington Blvd,9103,Clinton St & Polk St (*),Subscriber,Male,1970
